,city,pop,murder,robbery,property_crime,murder_raw,robbery_raw,pop_sq
0,Adams Village,1861.0,0,0,12.0,0.0,0.0,3463321.0
1,Addison Town and Village,2577.0,0,0,24.0,0.0,0.0,6640929.0
2,Akron Village,2846.0,0,0,16.0,0.0,0.0,8099716.0
3,Albany,97956.0,1,1,4090.0,8.0,227.0,9595377936.0
4,Albion Village,6388.0,0,1,223.0,0.0,4.0,40806544.0
5,Alfred Village,4089.0,0,1,46.0,0.0,3.0,16719921.0
6,Allegany Village,1781.0,0,0,10.0,0.0,0.0,3171961.0
7,Amherst Town,118296.0,1,1,2118.0,1.0,31.0,13993943616.0
8,Amityville Village,9519.0,0,1,210.0,0.0,4.0,90611361.0
9,Amsterdam,18182.0,0,1,405.0,0.0,12.0,330585124.0
10,Arcade Village,2053.0,0,0,39.0,0.0,0.0,4214809.0
11,Ardsley Village,4523.0,0,1,33.0,0.0,3.0,20457529.0
12,Asharoken Village,658.0,0,0,2.0,0.0,0.0,432964.0
13,Attica Village,2522.0,0,0,5.0,0.0,0.0,6360484.0
14,Auburn,27270.0,1,1,859.0,1.0,22.0,743652900.0
15,Avon Village,3333.0,0,1,25.0,0.0,1.0,11108889.0
16,Baldwinsville Village,7473.0,0,1,88.0,0.0,1.0,55845729.0
17,Ballston Spa Village,5418.0,0,1,94.0,0.0,3.0,29354724.0
18,Batavia,15374.0,0,1,559.0,0.0,13.0,236359876.0
19,Bath Village,5733.0,0,1,191.0,0.0,3.0,32867289.0
20,Bedford Town,17627.0,0,1,156.0,0.0,1.0,310711129.0
21,Bethlehem Town,34243.0,0,1,442.0,0.0,3.0,1172583049.0
22,Binghamton,46304.0,1,1,2349.0,3.0,101.0,2144060416.0
23,Black River,1410.0,0,0,14.0,0.0,0.0,1988100.0
24,Blooming Grove Town,12001.0,0,0,99.0,0.0,0.0,144024001.0
25,Bolivar Village,1022.0,0,0,4.0,0.0,0.0,1044484.0
26,Bolton Town,2325.0,0,0,24.0,0.0,0.0,5405625.0
27,Boonville Village,2054.0,0,0,20.0,0.0,0.0,4218916.0
28,Brant Town,2065.0,0,1,31.0,0.0,1.0,4264225.0
29,Brewster,2358.0,0,0,13.0,0.0,0.0,5560164.0
30,Briarcliff Manor Village,7976.0,0,0,11.0,0.0,0.0,63616576.0
31,Brighton Town,36689.0,1,1,793.0,1.0,10.0,1346082721.0
32,Brockport Village,8284.0,1,1,165.0,1.0,5.0,68624656.0
33,Bronxville Village,6390.0,0,0,47.0,0.0,0.0,40832100.0
34,Brownville Village,1174.0,0,0,10.0,0.0,0.0,1378276.0
36,Cairo Town,6577.0,0,0,15.0,0.0,0.0,43256929.0
