,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
0,Adams Village,"1,861",0,0.0,,0,0,0,12,2,10,0,0.0
1,Addison Town and Village,"2,577",3,0.0,,0,0,3,24,3,20,1,0.0
2,Akron Village,"2,846",3,0.0,,0,0,3,16,1,15,0,0.0
3,Albany,"97,956",791,8.0,,30,227,526,"4,090",705,"3,243",142,
4,Albion Village,"6,388",23,0.0,,3,4,16,223,53,165,5,
5,Alfred Village,"4,089",5,0.0,,0,3,2,46,10,36,0,
6,Allegany Village,"1,781",3,0.0,,0,0,3,10,0,10,0,0.0
7,Amherst Town,"118,296",107,1.0,,7,31,68,"2,118",204,"1,882",32,3.0
8,Amityville Village,"9,519",9,0.0,,2,4,3,210,16,188,6,1.0
9,Amsterdam,"18,182",30,0.0,,0,12,18,405,99,291,15,0.0
10,Arcade Village,"2,053",0,0.0,,0,0,0,39,3,35,1,0.0
11,Ardsley Village,"4,523",5,0.0,,0,3,2,33,4,28,1,0.0
12,Asharoken Village,658,0,0.0,,0,0,0,2,0,2,0,0.0
13,Attica Village,"2,522",2,0.0,,0,0,2,5,0,4,1,0.0
14,Auburn,"27,270",96,1.0,,20,22,53,859,132,721,6,
15,Avon Village,"3,333",1,0.0,,0,1,0,25,3,20,2,
16,Baldwinsville Village,"7,473",5,0.0,,0,1,4,88,10,77,1,0.0
17,Ballston Spa Village,"5,418",8,0.0,,0,3,5,94,16,78,0,1.0
18,Batavia,"15,374",57,0.0,,7,13,37,559,103,454,2,
19,Bath Village,"5,733",15,0.0,,1,3,11,191,32,157,2,2.0
20,Bedford Town,"17,627",5,0.0,,0,1,4,156,26,127,3,
21,Bethlehem Town,"34,243",13,0.0,,0,3,10,442,50,388,4,
22,Binghamton,"46,304",284,3.0,,19,101,161,"2,349",525,"1,767",57,
23,Black River,"1,410",0,0.0,,0,0,0,14,2,12,0,0.0
24,Blooming Grove Town,"12,001",8,0.0,,1,0,7,99,20,72,7,
25,Bolivar Village,"1,022",1,0.0,,0,0,1,4,2,2,0,0.0
26,Bolton Town,"2,325",2,0.0,,0,0,2,24,4,20,0,0.0
27,Boonville Village,"2,054",1,0.0,,0,0,1,20,6,14,0,0.0
28,Brant Town,"2,065",4,0.0,,0,1,3,31,9,20,2,0.0
29,Brewster,"2,358",0,0.0,,0,0,0,13,3,10,0,0.0
30,Briarcliff Manor Village,"7,976",1,0.0,,0,0,1,11,1,10,0,0.0
31,Brighton Town,"36,689",26,1.0,,2,10,13,793,142,623,28,
32,Brockport Village,"8,284",23,1.0,,1,5,16,165,29,132,4,
33,Bronxville Village,"6,390",0,0.0,,0,0,0,47,5,39,3,0.0
34,Brownville Village,"1,174",0,0.0,,0,0,0,10,0,10,0,0.0
35,Buffalo,"258,789","3,249",47.0,,145,"1,322","1,735","12,491","3,458","8,076",957,
36,Cairo Town,"6,577",0,0.0,,0,0,0,15,1,14,0,
37,Cambridge Village,"1,854",2,0.0,,0,0,2,44,12,31,1,
38,Camden Village,"2,219",5,0.0,,0,0,5,46,4,42,0,0.0
39,Camillus Town and Village,"24,165",14,0.0,,1,0,13,348,36,307,5,1.0
40,Canandaigua,"10,470",22,0.0,,0,9,13,315,54,253,8,
41,Canastota Village,"4,704",4,0.0,,0,0,4,60,8,51,1,
42,Canisteo Village,"2,246",3,0.0,,0,1,2,12,3,9,0,0.0
43,Canton Village,"6,794",3,0.0,,0,1,2,93,12,80,1,
44,Cape Vincent Village,762,0,0.0,,0,0,0,2,0,2,0,0.0
45,Carmel Town,"34,462",10,0.0,,2,0,8,198,31,158,9,1.0
46,Carroll Town,"3,481",0,0.0,,0,0,0,8,3,5,0,0.0
47,Carthage Village,"3,862",1,0.0,,1,0,0,60,12,47,1,
48,Cattaraugus Village,980,0,0.0,,0,0,0,4,0,4,0,0.0
49,Cayuga Heights Village,"3,749",1,0.0,,0,1,0,59,12,47,0,
50,Cazenovia Village,"2,732",0,0.0,,0,0,0,58,5,52,1,
51,Central Square Village,"1,835",3,0.0,,0,2,1,53,6,45,2,0.0
52,Chatham Village,"1,733",3,0.0,,0,0,3,32,5,27,0,0.0
53,Cheektowaga Town,"78,361",158,0.0,,11,48,99,"2,689",345,"2,271",73,2.0
54,Chester Town,"7,990",0,0.0,,0,0,0,25,9,16,0,
55,Chittenango Village,"5,016",1,0.0,,0,0,1,65,11,53,1,
56,Cicero Town,"29,571",12,0.0,,0,2,10,440,45,393,2,
57,Clarkstown Town,"80,705",65,0.0,,8,17,40,"1,515",99,"1,388",28,
58,Clyde Village,"2,049",4,0.0,,0,3,1,60,16,43,1,
59,Cobleskill Village,"4,503",5,0.0,,0,3,2,218,14,204,0,1.0
60,Coeymans Town,"7,458",39,0.0,,2,0,37,86,13,69,4,1.0
61,Cohoes,"16,179",26,0.0,,1,11,14,243,65,163,15,
62,Colonie Town,"78,215",63,0.0,,0,31,32,"1,990",186,"1,753",51,10.0
63,Cooperstown Village,"1,827",1,0.0,,0,0,1,16,2,14,0,
64,Corning,"11,087",35,0.0,,3,8,24,416,63,349,4,0.0
65,Cornwall-on-Hudson Village,"2,978",2,0.0,,0,0,2,22,8,14,0,
66,Cornwall Town,"9,543",1,0.0,,0,0,1,42,10,32,0,
67,Cortland,"19,331",18,0.0,,3,3,12,398,88,306,4,1.0
68,Crawford Town,"9,264",11,0.0,,0,2,9,113,16,97,0,
69,Croton-on-Hudson Village,"8,180",1,0.0,,0,1,0,53,8,43,2,
70,Cuba Town,"3,209",5,0.0,,1,0,4,81,7,72,2,0.0
71,Dansville Village,"4,605",2,0.0,,0,1,1,152,24,120,8,0.0
72,Deerpark Town,"7,827",7,0.0,,2,2,3,152,52,100,0,
73,Delhi Village,"2,985",1,0.0,,0,0,1,36,4,30,2,
74,Depew Village,"15,189",17,0.0,,3,2,12,310,54,251,5,2.0
75,Deposit Village,"1,628",0,0.0,,0,0,0,14,6,8,0,0.0
76,Dewitt Town,"22,681",20,0.0,,0,10,10,715,85,618,12,0.0
77,Dexter Village,"1,122",0,0.0,,0,0,0,8,2,6,0,0.0
78,Dobbs Ferry Village,"11,021",1,0.0,,0,0,1,104,13,89,2,0.0
79,Dolgeville Village,"2,191",7,0.0,,0,0,7,41,6,34,1,
80,Dryden Village,"1,913",3,0.0,,0,1,2,99,6,93,0,
81,Dunkirk,"12,329",40,0.0,,0,12,28,307,78,228,1,
82,East Aurora-Aurora Town,"13,774",5,0.0,,0,2,3,131,24,105,2,0.0
83,Eastchester Town,"19,800",2,0.0,,0,0,2,168,13,154,1,0.0
84,East Fishkill Town,"29,315",9,1.0,,0,1,7,165,18,141,6,
85,East Greenbush Town,"16,470",12,0.0,,0,4,8,373,36,330,7,4.0
86,East Hampton Town,"19,674",20,0.0,,2,1,17,300,56,237,7,
87,East Hampton Village,"1,104",0,0.0,,0,0,0,66,4,60,2,0.0
88,East Rochester Village,"6,596",8,1.0,,0,3,4,125,25,97,3,
89,East Syracuse Village,"3,036",8,0.0,,0,4,4,147,19,121,7,0.0
90,Eden Town,"7,684",1,0.0,,0,0,1,31,7,24,0,0.0
91,Ellenville Village,"4,124",17,0.0,,1,2,14,173,41,132,0,1.0
92,Ellicott Town,"5,144",7,0.0,,1,1,5,288,53,235,0,
93,Elmira,"28,921",81,0.0,,2,29,50,"1,027",224,790,13,
